,output_ID,flooded,alerts,t_EB_rate,risk
53,76544.0,0.125,0.125,0.14289535746985568,low
54,76544.0,0.0,0.0,0.45497238913197113,high
55,77390.0,0.0,0.0,0.01093940747783239,low
56,77390.0,0.03225806451612903,0.12903225806451613,0.012887747419973483,low
57,77390.0,0.3333333333333333,1.6666666666666667,0.1587849877880428,medium
58,77390.0,0.25,0.625,0.14178369156072915,low
59,77390.0,0.0,0.0,0.3363971885831613,medium
60,77418.0,0.0,0.0,0.01634492883442989,low
61,77418.0,0.03225806451612903,0.06451612903225806,0.020026740894534132,low
62,77418.0,0.0,0.0,0.14579847423186348,low
63,77418.0,0.125,0.125,0.1640232835108464,medium
64,77418.0,0.0,0.0,0.432561269353836,high
65,77428.0,0.0,0.0,0.01564939343832429,low
66,77428.0,0.016129032258064516,0.03225806451612903,0.015133397725056532,low
67,77428.0,0.0,0.0,0.145057750547413,low
68,77428.0,0.125,0.125,0.19184340911216832,medium
69,77428.0,0.0,0.0,0.552692419772893,high
70,77452.0,0.037037037037037035,0.037037037037037035,0.03108109735648087,low
71,77452.0,0.016129032258064516,0.016129032258064516,0.015450835391941692,low
